level_0,index,InChIKey,Solubility,SMILES,M,N_atoms,N_aroma_cycles,N_aroma_heterocycles,TPSA,logP,MP
1,1,AAKMSGQPNUGLAZ-UHFFFAOYSA-N,-5.647161854,O=C(Nc1cccc2C(=O)c3c4[nH]c5c(cc(NC(=O)c6ccccc6)c7C(=O)c8ccccc8C(=O)c57)c4ccc3C(=O)c12)c9ccccc9,665.6610000000003,74,8,1,142.26999999999998,6.754900000000005,180.0
2,2,AAKMSGQPNUGLAZ-UHFFFAOYSA-N,-5.647153737496482,O=C(NC1=CC2=C(NC3C4=C(C=CC2=3)C(=O)C2C(=CC=CC=2C4=O)NC(=O)C2C=CC=CC=2)C2=C1C(=O)C1C=CC=CC=1C2=O)C1C=CC=CC=1,665.6610000000003,74,8,1,142.26999999999998,6.7549000000000055,180.0
3,3,AAOISIQFPPAFQO-UHFFFAOYSA-N,-2.4750431492,CC(C)(C)CCCCC(O)=O,158.241,29,0,0,37.3,2.677500000000001,-73.0
4,4,AAOISIQFPPAFQO-UHFFFAOYSA-N,-2.475034975527285,CC(C)(C)CCCCC(O)=O,158.241,29,0,0,37.3,2.677500000000001,-73.0
5,5,AAOISIQFPPAFQO-UHFFFAOYSA-N,-0.7679552546,CC(C)(C)CCCCC(O)=O,158.241,29,0,0,37.3,2.677500000000001,-73.0
12,12,AAVMXHMOKHFTTF-UHFFFAOYSA-N,-4.234551305924156,CCOC(=O)C1C2CCC(CC2)C1NC1=NC(Cl)=NC=C1F,327.787,41,0,1,64.11,3.0489000000000006,129.5
13,13,AAWZDTNXLSGCEK-UHFFFAOYSA-N,0.3195240881500753,OC1C(O)CC(O)(CC1O)C(O)=O,192.167,25,0,0,118.22,-2.3214,163.25
14,14,ABAMRJVWDHJBTI-UHFFFAOYSA-N,-3.326276351034325,CCC(COC(=O)C1CC2OC2CC1)CCCC,254.36999999999992,44,0,0,38.83,3.313500000000002,-20.0
20,20,ABEXEQSGABRUHS-UHFFFAOYSA-N,-7.0864973463,CC(C)CCCCCCCCCCCCCCCOC(=O)CCCCCCCCCCCCCCC(C)C,536.9700000000005,110,0,0,26.3,12.764399999999979,-3.0
21,21,ABEXEQSGABRUHS-UHFFFAOYSA-N,-7.086485771142336,CC(C)CCCCCCCCCCCCCCCOC(=O)CCCCCCCCCCCCCCC(C)C,536.9700000000005,110,0,0,26.3,12.764399999999979,-3.0
23,23,ABLLZVRKYUXMHV-UHFFFAOYSA-N,-3.272898701063501,CCCC(=O)N1N=CC2C(=O)NC=NC1=2,206.205,25,0,2,80.64,0.5599000000000001,224.0
24,24,ABPZIVDVBYQVBG-UHFFFAOYSA-N,-7.626686540399546,OC1C=CC2=CC=CC=C2C=1C=NC1=CC2NC(=O)NC=2C=C1N=CC1=C2C=CC=CC2=CC=C1O,472.50400000000013,56,5,1,113.83000000000001,6.075000000000005,425.0
25,25,ABRIMXGLNHCLIP-UHFFFAOYSA-N,-5.316662805748256,O=C1CCCC=CCCCCCCCCCC1,236.3989999999999,45,0,0,17.07,5.196600000000005,21.8
29,29,ABXGMGUHGLQMAW-UHFFFAOYSA-N,-2.4821079167,CC(=O)c1cccc(c1)C(F)(F)F,188.14799999999994,20,1,0,17.07,2.9080000000000013,-0.8
30,30,ABXGMGUHGLQMAW-UHFFFAOYSA-N,-2.4821044534134296,CC(=O)C1C=C(C=CC=1)C(F)(F)F,188.14799999999994,20,1,0,17.07,2.9080000000000013,-0.8
31,31,ACBAHAXPEQHVHO-UHFFFAOYSA-N,-1.9435344131014376,CS(=O)(=O)C1=CC(C(O)=O)=C(F)C=C1,218.20499999999998,21,1,0,71.44,0.9274000000000002,192.5
33,33,ACDLFRQZDTZESK-UHFFFAOYSA-N,-2.245629447004485,OC(=O)C(NC(=O)C1C=CC=CC=1)C1C=CC=CC=1,255.27300000000002,32,2,0,66.4,2.2423,199.0
45,45,ACWBQPMHZXGDFX-UHFFFAOYSA-N,-3.3837343701946194,CC(C)C(C(O)=O)N(CC1C=CC(=CC=1)C1=CC=CC=C1C1NN=NN=1)C(=O)CCCC,435.52800000000025,61,2,1,112.07,4.161700000000003,116.5
54,54,ADSLOTSUFNDWQA-UHFFFAOYSA-N,-4.9989221426438295,CC(=CC(C)=O)C12CC3(C)CCC1C3(C)CCC2,246.39399999999992,44,0,0,17.07,4.518300000000004,-22.0
56,56,ADUODNZKKNUWBZ-UHFFFAOYSA-N,-6.599777696375322,OC1C=CC(=CC=1)C(=O)C1C=CC(=CC=1)C(=O)C1C=CC(O)=CC=1,318.32800000000003,38,3,0,74.6,3.559800000000002,307.9
60,60,AEEGJNJYJCGJFZ-UHFFFAOYSA-N,-2.545297449392653,CC(C)COC(=O)C(C)Cl,164.63199999999998,23,0,0,26.3,1.8129,-60.0
